"TOKEN";"REFTEXT"
"RWEZENMLFH";"M113A1"
"RWFHASWMIL";"#CMD BMP-1K SP2"
"RWHYMULRHO";"CANBERRA B.2 [HE/CLU]"
"RWJUTISBZH";"Kh-23M"
"RWJVIOGDKN";"Mi-8MT ESKORTNIY"
"RWLJKSWFWU";"M259 Hydra (WP)"
"RWMXROUAOO";"Aviation Brigade-1st Arm. Div."
"RWNWCHKDPU";"M113B"
"RWOVGMCHIY";"Bloodhound"
"RWRGSDITUR";"2-4 pa"
"RWRTPNWAXC";"35e Special Challenge Group"
"RWTEGLZANR";"3-13 pz"
"RWTNJOPXGO";"75 pułk zmech."
"RWVRKQOEEO";"TANK GUN"
"RWWFRJIGQF";"#CMD M151 MUTT CP"
"RWXFPWNYFI";"PIONIER"
"RXAOLWUJVK";"BS-3"
"RXBHHBPKXM";"Stab-I. Korps"
"RXEZQEKRFU";"#CMD BRDM-2 R-5"
"RXGSZTOGKN";"2-55. MSP"
"RXINMVMAYA";"M1 81mm"
"RXIPONRWEU";"EM-1ère DB"
"RXLEVWTMWO";"PzGrenadier-Bat. 322"
"RXSDYLGPJX";"AERO-M60 7,62mm"
"RXULWQICMT";"DIV. DU RHIN OFFICIAL BATTLEGROUP"
"RXUZMATIID";"M68A1"
"RXWEVEKXHG";"#CMD Mi-9"
"RXZAHDZNXY";"EM-3e DB"
"RXZANFRIIU";"Colt M635"
"RXZHDQQXVX";"Velitelství a štáb 2. MSD"
"RYBYXTXRGK";"L/39"
"RYCCBQIHXK";"M68A1 (XM900E1)"
"RYEXVNAZSC";"#CMD PANTSERINF. CMG"
"RYHEICFCRL";"Luftwaffe"
"RYKCDUBACL";"GUARDS MAG 7,62mm"
"RYLBGXQYTS";"1er Chasseurs"
"RYLKUHVSVZ";"Type 65"
"RYNANCSADA";"GeWa-11"
"RYNKTMJJZK";"#CMD CENTURION Mk.13 CMD"
"RYRSQNOOEC";"PARA. 53T2 20mm"
"RYRVTKNPAV";"RAF Gutersloh"
"RYTYXPJEGM";"9TH INFANTRY DIVISION (MOT.)"
"RYUOWJYXGW";"A Gatling gun is a multi-barrelled automatic rotary cannon capable of shooting a massive quantity of rounds extremely fast.\nUsing an electronic firing mechanism, a modern Gatling gun (also known as minigun) can fire so quickly it is in danger of running out of ammunition within seconds. Gatling guns are often cumbersome weapons and are relegated to be used on aircraft or stable land platforms. They can be employed as a close-in defensive system to saturate a target area by throwing a hail of fire, an anti-aircraft gun, or even an airborne anti-tank weapon able to punch through the weak top plating of many armored vehicles."
"RYXQUBRXWZ";"M-14OF"
"RZDCXOVNNO";"W50 LA/A"
"RZDHPSVRJA";"VW T3 KMAR"
"RZDTFVPCTO";"MIRAGE IV [HE]"
"RZEFZPWROZ";"Javelin"
"RZEKCRJCMN";"3-15. TP"
"RZEPXEKHWE";"This large helicopter is capable of lifting heavy cargo, vehicles, or towed guns. This can be done either inside the fuselage or slung underneath."
"RZGZOKGEIF";"M77"
"RZLHWZTTAW";"UK Vz.59L"
"RZLOWPQXRU";"43e RAMa"
"RZMUAMLMCM";"M1025 HUMVEE TOW"
"RZRPDDGIES";"24TH INF. DIV. OFFICIAL BATTLEGROUP"
"RZSVDSAMCK";"MiG-23MLD [AA2]"
"RZTJXRMROF";"Br-5M"
"RZTPZPTBLG";"Régiment Para-Commando"
"RZXAVLSDOW";"BRDM-2 MALUTKA-P"
"RZXUGSLTTL";"FV1611a KREMLIN PIG"
"SAAGGANQTR";"11. PARACHUTISTE"
"SABQIWVNCH";"MOTOSTRELKI"
"SACJPDEQLT";"16 Dywizja Zmechanizowana"
"SALOBQDEUJ";"MECH. FUSILIER "
"SAMGMQJEHJ";"CH-147 SUPPLY"
"SANJZXSUTI";"20 GMRD"
"SANOGZARHQ";"9K33M3 OSA-AKM"
"SAUQOJRWYD";"Su-22M4P [SEAD2]"
"SAVWOJIMLD";"Mi-8MT [GUV]"
"SAXSUETPGQ";"WP-8Z"
"SAYGCRWEDF";"FRR-10"
"SAZXVQGZRH";"HSS.820 x2"
"SBABROEOVK";"2A65"
"SBBEVYARPL";"Stab/Militärbezirk III"
"SBJIHSGMHB";"Su-22M4 [HE]"
"SBLGBPYCPB";"GUZMAN EL BUENO OFFICIAL BATTLEGROUP"
"SBPOEVCPQN";"TOW-2"
"SBRRVRCWCC";"SAPERI"
"SBZAKJGPMY";"T-10K-3"
"SC1000";"SC 1000"
"SC250";"SC 250"
"SC50";"SC 50"
"SC500";"Mk82"
"SCAWNORWBJ";"3-48-y Gv. Tank. Polk"
"SCAZDZQHPN";"1097-y otd. Zen.-Rak. Bat."
"SCLDDYKNAB";"JAGUAR GR.1A [HE]"
"SCNMAOBXWD";"EM-7e DB"
"SCRHCEACUR";"42 Tkbat"
"SCTHYUDZFC";"M43 82mm"
"SCUZDQQVSD";"6-29th Field Artillery Rgt."
"SCYWXGGKSO";"M60D"
"SCZZFDSCUS";"AERO-RIFLES"
"SD70";"SD 70"
"SDAXEGHHZO";"#RECO2 FALLSCHIRM-AUFKLÄRER"
"SDAXMOGHOX";"AZP-23"
"SDEDTIYZXQ";"F-16A [AA]"
"SDGIGWLZFP";"2-54-y Art. Polk"
"SDGKLDUPCP";"#RECO2 USMC LAV-MEWSS"
"SDPCWWCAHJ";"#ESP Brigada de Cab. Jarama"
"SDQTSPQMIQ";"6E DIVISION LEGERE BLINDEE"
"SDQVDXFHNG";"PaK57"
"SDSRWKJJQC";"T-55AM-1"
"SDTDGFUTEL";"VBK 41"
"SDVRWUCHMV";"I./Queen's Own Highlanders"
"SDWMIYSGUN";"ADATS"
"SDWVADHXZC";"M40A1"
"SDYXATQGGV";"144-y Zen. Art. Polk"
"SDZXYUYRYN";"ANTI-AIRCRAFT GUN"
"SEAAOYXNCJ";"#CMD STADION"
"SEAD";"SEAD"
"SEBFUFCNIX";"DD-11 DPanc"
"SEGYMINWIW";"HVAR"
"SEIUYQLHGT";"REZ. BRDM-2 MALYUTKA-P"
"SEJQZSUCFE";"9M27F"
"SEJXFSVZJW";"MOT. AIRMOBILE"
"SEKEIWQTSA";"#RECO2 PRŮZ. L.M."
"SENFZPAPMX";"MiG-27M [CLU]"
"SEOVGNUUTK";"W50 LA/A 25mm"
"SEPQVPDLJX";"L2A3"
"SESTPVYQLP";"FUSILEROS (C90)"
"SEUJKGWFEN";"Su-24M [HE]"
"SEVCTQDLDQ";"4th/7th Royal Dragoon Gds."
"SEVUYTTDDS";"M167A1 VADS 20mm"
"SEWVMLWHTM";"148mm"
"SEXSOLPKLY";"Mw. 74"
"SFCDICIELT";"JG-7"
"SFDDIFKTWY";"VKK 334"
"SFOOHNQGZA";"MOT. RIFLES"
"SFURJYVFLE";"AH wz. 1937/85 152mm"
"SGEEXVOOPI";"56-YA OG DESANTNO-SHTURMOVAYA BRIG."
"SGGDGYLPQD";"4. MSD OFFICIAL BATTLEGROUP"
"SGHCDQINPI";"Sicherungs-Bat. 4321"
"SGJBCKDPGY";"PTŘS KONKURS"
"SGJUCNASKH";"CM60A1"
"SGNRKTDKIN";"Unguided air-to-ground rockets are fired from aircraft and helicopters at ground targets.\nA common weapon, rockets normally lack an active guidance system, separating them from missiles. A simple and easy-to-use weapon - though not very accurate - rockets are convenient in a short-range or area saturation role. Carrying various types of warheads, rockets are frequently fired from rocket pods in devastating salvoes. "
"SGRFSHHZJC";"AAM MG-42/58"
"SGXGLZBAFC";"9M41"
"SHBINZZBDX";"M242 Bushmaster"
"SHEBACKTMB";"DESANT. 2B14 82mm"
"SHGXIDGTGG";"3-1047-y Art. Polk"
"SHHUWHORMM";"#RECO2 MOT. GRENZER"
"SHKAZGYXRW";"MARSOUINS MILAN 2"
"SHKPQBMKXN";"#US  7th Engineer Brig."
"SHMXFYGRWE";"2. Luftwaffendivision"
"SHNXMSBQAB";"TOW-2"
"SHOPGELWAY";"FLA.KOMMANDO 1"
"SHPBXWBNBX";"232-y otd. Okhrany Bat."
"SHPNDIROUT";"BMP-2D"
"SHRRVDPNWR";"BVP-1"
"SHRYTJRPIR";"#FR 12e Div. Légère Blindée "
"SHUINZTHWB";"MiG-23ML [AA]"
"SHUWFDYZUR";"AMX-13 Mod.56 MILAN"
"SHVNHJXRDE";"#US  3rd Armored Div."
"SHYGRGGFHZ";"#SOV 197-y Gv. Tank. Polk"
"SHZZBVUZIT";"2-504th PIR"
"SIDAGVNMPB";"2A46"
"SIHQPRGNKW";"False Flag"
"SIIXPSVCPJ";"FV432 MORTAR"
"SINCVDVRRF";"T-34/85M"
"SIQAIYGATL";"230kg"
"SIQEHZMAGN";"15-ya Gv. Tank. Div."
"SIUQLRWSES";"FUSILIER "
"SIVRNRCCAM";"1. Stíhací Letecké Divize"
"SJCKTFPSLA";"Kom./30-ya Gv. MSD"
"SJEMRJORKA";"#RECO2 ECLAIREURS"
"SJEUSVHJRF";"#UK RAF Laarbruch"
"SJEVNFTNCM";"III./MSR. 41"
"SJFNWPLEMY";"M113A1"
"SJHDEOEELU";"A-19 122mm"
"SJLQUEIPXU";"JBG-37"
"SJMGUNHMQG";"#RECO2 T-34A MENTOR"
"SJOBDAFEHE";"HQ-8th ID"
"SJOVWSADJC";"79.Gv TD"
"SJSZDOOHXY";"240-y otd. Okhrany Bat."
"SJUDEPLDMU";"Airborne units can deploy further ahead, using Forward Deployment, but only during the initial deployment phase."
"SJYWSLSPAM";"#RECO1 COUGAR RECCE"
"SKBEKQUOWJ";"IFV Infantry"
"SKDIIFQTJX";"SPW-152K"
"SKEMOLPXVJ";"56 pśb"
"SKIMAPNRMZ";"#RFA  13. Panzergrenadier-Brigade"
"SKJEJEXFQH";"1-17. TP"
"SKJMBBRIBT";"PzGrenadier-Bat. 351"
"SKNOKFFZJC";"119-Y ODT.TNK OFFICIAL BATTLEGROUP"
"SKRAADNFML";"PzArtillerie-Bat. 155"
"SKTPTAFFML";"T813"
"SKVZGZFPDS";"2-61-y Gv. Tank. Polk"
"SKZVZQETZP";"12th Engineer Bat."
"SLBMBEATWL";"I-TOW"
"SLCWQKUGRI";"PLK čs"
"SLDTKIMDPF";"HS 3-14 HA CH 20mm"
"SLKQDCXPZR";"49 pśb"
"SLLOUYGFRM";"N.G. REDEYE"
"SLMRJGERQC";"vz.61 Škorpion"
"SLORWJJOPE";"#CMD ALOUETTE II FÜH."
"SLTDPKXWYS";"115 Afdltlua"
"SLTGDKRXSV";"AERO-M252 81mm"
"SLVLWCGBAA";"M106A2 MORTAR"
"SLWWBDRKKD";"S-24"
"SLXNURPJTI";"Stgw 90"
"SLZBFVOBQW";"GREN.-VOLTIGEURS (APILAS)"
"SMCCXZONFP";"PRÉVÔTÉ"
"SMCSLEKRJN";"DESANT. SAPERI"
"SMFGSUGTHV";"Twin L37A2"
"SMHTPJXZQC";"#CMD Mi-2D"
"SMMDZUVZWR";"G3A4"
"SMNJWOVMTN";"M201 MILAN"
"smoke";"Smoke grenades"
"SNAPPXBTUK";"79th Engineer Bat."
"SNBVEPLBVL";"2e Chasseurs Ardennais"
"SNEGMQAFIJ";"3-5th Mech. Infantry Bat."
"SNFJJJHKNS";"GeWa-19"
"SNGEGDGJIQ";"M36"
"SNHCNRTDLC";"SAW FALO"
"SNMNABOTZQ";"M109A2"
"SNQIPBPAEC";"42 Afdva"
"SNROVWLCDD";"P4 GENDARMERIE"
"SNTEKRYWSF";"68 pułk czołgów"
"SNYBHRGJKH";"M1008 CUCV GLH"
"SNZRXWKBHX";"l.MG-K"
"SNZSVZXGUS";"PIONIER (Flam.)"
"SOCPGGFBNE";"32th Tac. Fighter Sq."
"SODIRKGQKY";"#CZ 63. Motostřelecký Pluk"
"SOGEAUKRKN";"19. PPR"
"SOIGEMBFGS";"#CMD DOW. KOMANDOSI"
"SOLWZUYKAC";"MB 1017 MÜN."
"SOMGJFUDRY";"PARA. MILAN 2"
"SOPQEOVMKR";"101ST AIRBORNE OFFICIAL BATTLEGROUP"
"SOPTZYMAMY";"#BEL  17e Brigade Blindée"
"SOUGIMRNCM";"M125 MORTAR"
"SOYIURQRYF";"ANTI-AIRCRAFT GUN"
"SOZSQRHTUP";"19. MOT.-SCHÜTZEN-DIVISION"
"SPEYVKUVSN";"4-390-ya Gv. Art. Brigada"
"SPHMTRBICC";"#RECO2 GUERRILLEROS"
"SPMYMXSJTU";"CN-105 F1"
"SPNKOHGVBI";"139-y Zen. Art. Polk"
"SPPVUGHCVH";"12 DYWIZJA ZMECH."
"SPTPUCUXQK";"A tank gun is a large-caliber, high-velocity gun capable of firing various projectiles against a variety of targets.\nA tank gun is the primary means of engaging other tanks or armored vehicles with direct fire. Featuring different calibers, between 90mm to 125mm, a tank gun is often emplaced in a turret, creating a flexible yet hard-hitting weapon. When assisted by advanced targeting computers and sights, a tank gun can engage almost any kind of unit, even airborne targets, regardless of the weather or time of day. A tank gun fires off a variety of different shells, at times supported by an autoloader, including armor-piercing kinetic (AP), armor-piercing, fin-stabilized, discarding sabot (APFSDS), high-explosive (HE), or high-explosive anti-tank (HEAT). Some guns can even fire specially adapted guided missiles. "
"SPXLKSXYFW";"Mi-26 GRUZOVOI"
"SPZUNHQJFJ";"Explosive reactive armor (ERA) is intended to counteract HEAT antitank munitions and provides a boost in the survivability of the tank and its crew."
"SQDNBBELEN";"McMillan TAC-50"
"SQGTKLAUHF";"Zwillinge MK 20 Rh 202"
"SQHJNTTJAD";"#RFA  VBK 35"
"SQLGOZNIMP";"#RECO3 Mi-17MTA"
"SQMZCDLRBC";"1-385-y Art. Polk"
"SQNKAAFWCE";"N.G. AH-64A APACHE"
"SQOGSBDNJJ";"AGS-17"
"SQOJROBTET";"#SOV 67-y Gv. Tank. Polk"
"SRCEHVIUIK";"2A42 "
"SRDOSGDIWA";"#RECO2 VERKENNERS (AT)"
"SRGUECEQSX";"#CMD RIFLES LDR."
"SRJOOCOUGP";"SUPER PUMA"
"SRNIPMIGYA";"TK Nord"
"SRQHPENQST";"#RECO2 DESANT. RAZVEDKA"
"SRTPUYMZPL";"#RECO1  ROZP. BWP-1 "
"SRTVMYFVPK";"HQ-2"
"SRVECFEBWK";"D-20 152mm"
"SRZGLULFQL";"1 gb 10 pz"
"SSEJVMQPBN";"Pionier-Rgt. 72"
"SSFKRWGMJT";"VKK 221"
"SSHARNYATQ";"SBAT-127"
"SSMGTPZOFC";"2-1st Cavalry Sq."
"SSQBBDOQLO";"#RECO2 MOT. RAZVEDKA"
"SSSIABNVRC";"40mm"
"SSUQLSIEOQ";"3-60. TP"
"SSUSFSRKEO";"CENTRAL ARMY GROUP"
"SSVYVMHOZM";"52nd Tac. Fighter Wing"
"SSZCKARBQI";"2-9 pz"
"STEFHLUAEC";"#CMD ILTIS PC"
"STERFGXKYX";"#RECO2 KSK"
"STGYDWQLIP";"3-79-y Gv. Tank. Polk"
"STGZZASYDS";"NIEB. BERETY SAPERZY (LPO-50)"
"STNHNGZICX";"LC-T1-M1"
"STNIPUTOQH";"Pz.Gren.-Lehr-Bat. 212"
"STOXFKZFDR";"Token inexistant LLQFPSYMBI dans SERIOUS_Localisation_Unites"
"STQZWDNINA";"MK-77"
"STUMGQCUVD";"USMC LAV-M 81mm"
"STYBNFYSZO";"197th MECH. BRIGADE"
"STYCCXKNOJ";"K.d.A. BEZIRK ERFURT"
"STYMYCSNJD";"2A20"
"STZMBXXVND";"D-1"
"STZNJWODUX";"2-5 pz"
"SUBZCHCRXV";"DIVISION ACORAZADA 'BRUNETE'"
"SUCPTZLIAG";"Tampella"
"SUEIKAPKZJ";"#RECO2 K.d.A. AUFKLÄRER"
"SUJFTVYPPZ";"M2HB"
"SUKUMKDISS";"Type 59"
"SUMBEL16PD";"A light armored division with affordable Leopard 1 tanks, mechanized infantry, and IFVs. This Belgian battlegroup can strike early and often, but might struggle against heavier opponents."
"SUMBELDIMO";"Airborne infantry and ATGM teams, backed by large numbers of older armored vehicles, can tip the scales for this Belgian division. This rear-area mechanized battlegroup lacks helicopters and relies on a vintage arsenal, but is still a force to be reckoned with thanks to its artillery and anti-air units. "
"SUMCAN1ID";"Plentiful infantry and state-of-the-art Eryx and ADATS missiles form the core of this mobile Canadian mechanized division. Backed by a massive fleet of modern F-18s, it might struggle in a head-to-head fight if its air cover is neutralized."
"SUMCZ19MD";"This well-rounded motorized rifle division can be used for a variety of offensive and defensive tasks. Capable Czechoslovakian special forces, recon, mechanized, and airmobile infantry are supported in the field by an impressive artillery arsenal."
"SUMCZ1TD";"This offensively-minded Czechoslovakian tank division is well equipped with mechanized infantry and tanks. Notable is its numerous artillery, including the short-range SVO demining vehicle, which can be used to obliterate entrenched enemy positions."
"SUMCZ2MD";"This well-balanced Czechoslovakian motorized division comprises a large contingent of infantry and border guards, supported by an array of ATGM-armed T-55AM2B tanks. This gives it a potent long-range punch, further backed by decent recon forces and artillery units."
"SUMCZ303TD";"A reserve tank division relying on older equipment, this Czechoslovakian rear-area formation is best used on defense. However, thanks to its numerical superiority and the support of a handful of modern units, the division can pose quite a challenge."
"SUMFR11DP";"Airmobile infantry with Forward Deployment and hard-hitting recon are the hallmarks of this light airborne division. Using superior mobility, the French paratrooper battlegroup keeps the enemy off-balance with ground ambushes and pinpoint air strikes."
"SUMFR152DI";"This French stronghold division, with a diverse selection of elite special forces, is backed by a large number of reservists. Flexible and mobile, with powerful anti-air defenses and air cover, this defensive battlegroup keeps its opponents on its toes."
"SUMFR5DB";"Rapid and mobile, this French armored division uses its wheeled tanks and strong IFVs to wreak havoc in ambushes and lightning-fast screening operations. Excellent infantry and artillery give support, but avoid going head-to-head against heavier adversaries."
"SUMFR6DLB";"Exceedingly rapid on the battlefield, this French light division leverages its fast wheeled tanks and recon for a powerful opener. Legionnaire infantry can be employed in a layered defense, but avoid being pinned down by heavier opponents."
"SUMFRDdR";"A Franco-West German rear-area division, defensive operations are this battlegroup's strong point. Older armored vehicles are backed by numerous combat engineers, reservists, well-equipped Jäger infantry, and an array of specialized weaponry."
"SUMNL4D";"An armored spearhead used for heavy-hitting breakthrough operations. This Dutch division can muster a powerful combination of modern tanks, IFVs, and tank destroyers, but lacks vigorous air cover."
"SUMNLCLKA";"This second-line Dutch division features plenty of well-trained reservists, managing to execute capable combined arms operations on the battlefield. This includes American air support and the modern Leopard 2A4 tank."
"SUMPOL20PD";"A strong recon force, together with cost-effective armored vehicles and infantry, enables this Polish tank division to perform well in all types of combat. Care should be taken against heavy or high-tech adversaries, however."
"SUMPOL4DM";"This flexible Polish mechanized division is well suited for combined-arms operations, from aggressive opening moves to massed offensives. The battlegroup is most comfortable in the early to mid-battle, thanks to its cheap tanks and mechanized infantry."
"SUMPOLKD";"A unique half-airborne, half-naval infantry formation, the Polish battlegroup’s well-trained soldiers are specialized in fast assaults. Heavy artillery, helicopters, and air cover should deal with whatever ground threats the enemy can muster."
"SUMRDA4MD";"This East German motorized division is capable of sustaining a high tempo of combat operations. Elite airborne troops can take the ground early, with the battlegroup then switching to a defense-in-depth with its upgraded second-generation armor, helicopters, and infantry."
"SUMRDA7PzD";"Closing the distance and fighting as a brawler is this East German armored battlegroup’s specialty. While the air force provides top cover, this tank division relies on superior numbers of the basic but capable T-72 to overwhelm the enemy at close range."
"SUMRDA9PzD";"The favored child of the East German army, this armored division features a wide array of capable T-72 tanks and IFVs. Infantry is limited, but this tank-heavy battlegroup fights best across open terrain with its long-range missile-firing tank destroyers, artillery, and aircraft."
"SUMRDABerl";"This division excels in high-intensity urban warfare, with some of the East Germans’ finest infantry and artillery spearheading the fight. An older arsenal means this mixed formation will have only limited options in open combat."
"SUMRDAKdA";"A rear-area defensive formation with a large number of cheap reservists and militia at its disposal. This East German division counts on excellent artillery, anti-air, logistics, and additional Soviet support, including air cover."
"SUMRDARug";"A mobilized East German and Polish battlegroup with numerous anti-air options. Plentiful infantry allows it to fight well when under cover, as the division can direct powerful air strikes and specialized artillery to clear out entrenched enemies."
"SUMRFA1LLD";"A unique mixed air assault division with a sizable number of West German mountaineers. This formation excels in early-battle action, as well as fighting in rugged terrain, but features minimal anti-air defenses."
"SUMRFA2PzG";"Strong across the board with numerous capable units, this West German mechanized infantry battlegroup includes Forward Deployable Fallschirmjägers. Counting on multinational NATO support, the battlegroup’s vulnerable to SEAD strikes, making air superiority imperative."
"SUMRFA5PzD";"The pinnacle of Bundeswehr tank technology, this armored division is geared for offensive operations. Some of the most modern West German panzers, including the Leopard 2A4, can be deployed by this powerful combined-arms battlegroup."
"SUMRFATKS";"A rear-area defensive division, with West German reservists joined by French airmobile and American special forces. Powerful anti-air units and artillery, plus a unique mix of aircraft, compensate for the battlegroup’s older equipment, tanks, and ATGM troops."
"SUMSO119OG";"An unstoppable juggernaut late in the battle, this armored spearhead is built for high-intensity tank warfare. Its expensive state-of-the-art Soviet tanks, air, and special forces take time to build up in sufficient numbers."
"SUMSO157";"A Soviet mobilization division based in the Crimea filled with mothballed equipment and reservists. An eclectic mix of weaponry, including Soviet Navy assets, can give this defensive battlegroup’s untrained mass of infantry a surprising punch on the battlefield."
"SUMSO17TDG";"A Soviet reservist mobilization division with an eclectic arsenal of older tanks, artillery, and even World War II-era assault guns. Best used in close-range defensive fights,"
"SUMSO25TD";"Armored superiority for this Soviet tank division comes in the form of massed T-64s. A unique but unbalanced organization results in deficiencies in logistics and infantry, which are offset by artillery and heavily armored recon troops."
"SUMSO27G";"With the latest Soviet Army equipment at its disposal, this modern combined-arms battlegroup merges plentiful mechanized IFVs and infantry with potent artillery. Its high-end units are powerful, but limited in number. "
"SUMSO2G";"This honorific Moscow-based formation is a highly motivated infantry division with access to some of the most advanced units of the Soviet Army. The straightforward combined arms approach sees its well-trained Gvardeitsy squads team up with state-of-the-art T-80U tanks."
"SUMSO31TD";"An arsenal of T-72s, along with numerous infantry, allows this Soviet tank division to hold any territory it gains comfortably. Air and helicopter support might be meagre, but artillery more than compensates."
"SUMSO35VDV";"This well-trained Soviet air assault division excels in fast-moving operations and aggressive opening attacks. It contains a high ratio of Forward Deployable mechanized vehicles, light but heavily armed, supported by special forces and advanced Ka-50 attack helicopters."
"SUMSO39G";"An archetypal Soviet motorized rifle division, with a balanced arsenal across its armored, helicopter, and mechanized infantry forces. This battlegroup performs equally well in offensive and defensive operations."
"SUMSO56VDV";"A versatile half-mechanized Soviet air assault division with numerous veteran soldiers, Spetzaz special forces, and a host of unorthodox field-modified vehicles. With unrivaled battlefield mobility, this battlegroup's arsenal is equally colorful as it is powerful."
"SUMSO6GOB";"A Soviet combined-arms battlegroup with key East German support. An array of cheap bombers and infantry, with a few airmobile troops, allows it to fight well in urban or rugged terrain. Air defense, with its long-range AA units and interceptors, is another strong point."
"SUMSO76VDV";"With an emphasis on mechanization, this Soviet airborne battlegroup relies on its state-of-the-art armored vehicles and air cover for its battlefield firepower. Light but hard-hitting, the battlegroup lacks in air assault capabilities and helicopter gunships."
"SUMSO79G";"A top-notch armored division capable of brute-forcing its way through stiff opposition. From main battle tanks to heavy bombers, this Soviet battlegroup takes time to build up its strength on the battlefield."
"SUMSOV1G";"A renowned Soviet Army formation in which regular and reserve forces work in close cooperation. Cheap T-72s and infantry shield the division’s arsenal of powerful anti-tank units, but with few ways to mask an attack, care should be taken on the battlefield."
"SUMSPA1DM";"This Spanish light cavalry division relies on its fast recon forces to aggressively seize territory early in a battle. Hold gains with cheap armor and wheeled tank destroyers, backed by capable supporting arms and air cover."
"SUMSPA2DM";"This light Spanish motorized division is centered around the BMR APC and fast infantry units. The lack of forward deployment options is compensated by a plethora of light armor and recon, backed by a well-balanced selection of artillery."
"SUMUK1AD";"A heavy brawler, this British armored division deals damage with its advanced long-range ATGM carriers, while its more than capable tanks advance under fire. Air cover is likewise formidable, from air defense to closer air support."
"SUMUK2ID";"This British division is strong in the early battle due to its airmobile troops and powerful SAS special forces. Battlefield mobility is excellent, as is its infantry, which should be used to create a long-lasting defense in depth."
"SUMUK4AD";"This British armored formation has a well-balanced arsenal of competent infantry, armor, and air support. It can outlast the enemy in any scrappy brawl, as long as the division’s mix of older equipment is put to good and careful use."
"SUMUKBerl";"This multinational infantry division under British command is honed to fight on urban battlefields. Strong in early recon pushes, defense is the battlegroup's strength, with stealthy strikes and massive raids by its potent bomber force keeping the enemy at bay."
"SUMUKHDR";"The Queen’s Guard is one of the many unusual units in this unique composite but highly motivated London-based defensive garrison, which also includes counter-terror SAS squads and ceremonial artillery guns."
"SUMUKMNAD";"The multinational mix of various NATO airmobile units, each with a well-balanced roster of paratroopers, infantry, and vehicles. This light but flexible airborne division is equally comfortable in close-combat operations as in long-range defense."
"SUMUS101AB";"An excellent roster of airmobile infantry and special forces form the beating heart of this hard-and-fast American airborne battlegroup. Favoring early aggressive pushes, a powerful flying arsenal of helicopters, gunships, and aircraft backs up the boots on the ground."
"SUMUS11ACR";"With excellent recon, tank, and air units, this mechanized battlegroup is best used offensively. Aggressive tactics early on can derail enemy plans, all the while the division builds up to unleash scores of M1A1 Abrams for a mighty late-battle armored push."
"SUMUS1CAV";"The distinguished American division fields a wide array of capable tanks, further bolstered by British armor. With few infantry, this Anglo-American battlegroup deploys several unique Abrams and Bradley variants, dominating the open range."
"SUMUS24ID";"Bolstered by a core of regulars, this American mechanized infantry division can also deploy National Guard units, giving commanders access to numerous cheap but strong forces. Air power is especially formidable, with the F-15E Strike Eagle more than capable of picking off high-value targets."
"SUMUS35ID";"A well-rounded National Guard battlegroup, in which numerous second-generation M60A1 main battle tanks can be deployed en masse. Excellent air defense and ground strike aircraft act as potent force multipliers. "
"SUMUS3AD";"The tip of the spear, this offensively geared American division contains powerful high-end armor, IFVs, and aircraft. Slow to open, expensive to deploy, and with small infantry squads, the battlegroup's full potential typically unlocks late into a battle."
"SUMUS6LID";"A mix of airborne and reserve infantry fills up the ranks of this defensive-minded Arctic Warfare battlegroup. Lacking heavy armor, the American multi-service division’s very powerful air support is the ticket to victory."
"SUMUS82AB";"First to fight, this American airborne division prides itself on opening strong with Forward Deployed paratroopers and excellent recon vehicles. Supported by top-end aircraft and helicopter forces, this light battlegroup should avoid being cornered by combined-arms opponents in unfavorable terrain."
"SUMUS8ID";"A strong combined-arms American battlegroup, with an edge in infantry and Ranger squads, supported by potent artillery and air units. While the division lacks speed, its firepower is more than capable of bleeding the enemy dry over time.  "
"SUMUS9Mot";"This high-tech American motorized division dominates the fight with hit-and-run attacks and ambushes. Mobile wheeled ATGM destroyers allow the versatile but light battlegroup to fend off enemy armor, with its National Guard contingent providing additional staying power."
"SUORAXRAFL";"I./Artillerie-Brigade 40"
"SUPFWZYTJK";"#CMD MARINIER CMG"
"Supply";"Supply Truck"
"Support";"Multiple Rocket Launcher Vehicle"
"SUQBCGIDAE";"M70"
"SURTQEQWEO";"4-11th Arm. Cavalry Rgt."
"SUTZHQKJQP";"T805 vz.53"
"SUVJICIZWT";"Kobra"
"SUXOGRJEPT";"BLG66 Belouga"
"SUYFIUOPKW";"3-103. TP"
"SVBDRQTFJY";"#US  41st Field Artillery Brig."
"SVCKWDTODY";"3M9M3"
"SVEHBMUYZL";"19. MOTOSTRELECKA DIVIZE"
"SVHMUBUEGP";"DESANT. SAPERI"
"SVIFBYYFQL";"2-MSR. 2"
"SVRKQGDWAZ";"AKM"
"SVTLKFSYHP";"VKK 421"
"SVVHZSLYZY";"#RECO2 AUFKLÄRER"
"SVVTOBCRXD";"#PACT Kom.-CGV"
"SVYYFITWJW";"#RECO3 M1025 HUMVEE G/VLLD"
"SWAEPDCBHE";"4 DIVISIE OFFICIAL BATTLEGROUP"
"SWBUVULVYM";"A-37B [NPLM]"
"SWBVZQWSYI";"R-73"
"SWFVZJBLNA";"#CMD NIEB.BERETY PT-76BD"
"SWJKNGDPFW";"Flugabwehr-Rgt. 300"
"SWLKBORADJ";"#CMD T-64RK"
"SWOESKMZMF";"5E DIVISION BLINDEE"
"SWOMKRBJGK";"L7A3"
